--- LISTA BUDYNKÓW CITIES: SKYLINES ---
ID: 2 | Kategoria: Beautification | Nazwa: Abandoned Building 01
ID: 746 | Kategoria: Monument | Nazwa: Oriental Pearl Tower
ID: 757 | Kategoria: HealthCare | Nazwa: medicalclinicEU
ID: 758 | Kategoria: HealthCare | Nazwa: hospital_EU
ID: 759 | Kategoria: FireDepartment | Nazwa: Fire_Station_EU
ID: 760 | Kategoria: FireDepartment | Nazwa: firehouse_EU
ID: 761 | Kategoria: Education | Nazwa: Elementary_School_EU
ID: 762 | Kategoria: Education | Nazwa: highschool_EU
ID: 763 | Kategoria: Education | Nazwa: University_EU
ID: 764 | Kategoria: Beautification | Nazwa: Tennis_Court_EU
ID: 765 | Kategoria: Monument | Nazwa: amsterdam_palace
ID: 766 | Kategoria: Monument | Nazwa: arena
ID: 767 | Kategoria: Monument | Nazwa: cathedral_of_cologne
ID: 768 | Kategoria: Monument | Nazwa: cinema
ID: 769 | Kategoria: Monument | Nazwa: city_hall
ID: 770 | Kategoria: Monument | Nazwa: department_store
ID: 771 | Kategoria: Monument | Nazwa: gherkin
ID: 772 | Kategoria: Monument | Nazwa: government_offices
ID: 773 | Kategoria: Monument | Nazwa: hypermarket
ID: 774 | Kategoria: Monument | Nazwa: london_eye_anim
ID: 775 | Kategoria: Monument | Nazwa: shopping_center
ID: 776 | Kategoria: Monument | Nazwa: theatre
ID: 777 | Kategoria: PoliceDepartment | Nazwa: Police Headquarters EU
ID: 778 | Kategoria: PoliceDepartment | Nazwa: police_station_EU
ID: 941 | Kategoria: Beautification | Nazwa: 539613931.Park 4x8_Data
ID: 942 | Kategoria: Beautification | Nazwa: 462354663.Park z parkingiem_Data
ID: 943 | Kategoria: Beautification | Nazwa: 462354925.Avalkizenparken_Data
ID: 944 | Kategoria: Beautification | Nazwa: 539613606.Park 4x4_Data
ID: 945 | Kategoria: Road | Nazwa: 631574295.Rondo nad autostradą_Data
ID: 946 | Kategoria: Beautification | Nazwa: 700979849.Parking 3x4_Data
ID: 947 | Kategoria: Education | Nazwa: 903407938.UST_Data
ID: 948 | Kategoria: Monument | Nazwa: 818407172.Community Center_Data
ID: 949 | Kategoria: Beautification | Nazwa: 528170653.Cobblestone Plaza_Data
ID: 950 | Kategoria: Beautification | Nazwa: 417107136.Large Cinema_Data
ID: 951 | Kategoria: HealthCare | Nazwa: 597287624.Small Clinic_Data
ID: 952 | Kategoria: Water | Nazwa: 565322183.Clarifier_Data
ID: 953 | Kategoria: Water | Nazwa: 565330058.Activated sludge process tank_Data
ID: 954 | Kategoria: Monument | Nazwa: 571552598.Amber Arena_Data
ID: 955 | Kategoria: Water | Nazwa: 568732616.Aeration basin_Data
ID: 956 | Kategoria: Education | Nazwa: 917499825.Phoenix High School_Data
ID: 957 | Kategoria: Road | Nazwa: 853655964.Standard Parking Garage_Data
ID: 958 | Kategoria: HealthCare | Nazwa: 503517624.Lifecenter Hospital_Data
ID: 959 | Kategoria: Beautification | Nazwa: 507530168.Aqua Fun Park_Data
ID: 960 | Kategoria: HealthCare | Nazwa: 858102805.University Hospital_Data
ID: 961 | Kategoria: Monument | Nazwa: 414794513.Medium Football Stadium_Data
ID: 962 | Kategoria: Beautification | Nazwa: 411112582.Tennis Club_Data
ID: 963 | Kategoria: Beautification | Nazwa: 422359099.Garage_Data
ID: 964 | Kategoria: Beautification | Nazwa: 504193884.Medium Parking Garage_Data
ID: 965 | Kategoria: Garbage | Nazwa: 447938719.Adv. Incineration Plant_Data
ID: 966 | Kategoria: Beautification | Nazwa: 412577106.Baseball Field_Data
ID: 967 | Kategoria: PublicTransport | Nazwa: 868718614.Nonstop Bus Terminal_Data
ID: 968 | Kategoria: PublicTransport | Nazwa: 922683980.Bus Station_Data
ID: 969 | Kategoria: Garbage | Nazwa: 432840529.Large Recycling Center_Data
ID: 970 | Kategoria: Garbage | Nazwa: 415274778.Recycling Center_Data
ID: 971 | Kategoria: PublicTransport | Nazwa: 449392304.Small Suburban Train Station_Data
ID: 972 | Kategoria: Water | Nazwa: 421481057.Sewage Treatment Plant_Data
ID: 973 | Kategoria: HealthCare | Nazwa: 624474022.Large Advanced Crematorium_Data
ID: 974 | Kategoria: PublicTransport | Nazwa: 600777600.Large Taxi Depot_Data
ID: 975 | Kategoria: Water | Nazwa: 431229239.Large Water Pumping Station_Data
ID: 976 | Kategoria: Electricity | Nazwa: 411236780.Hydrogen Power Plant_Data
ID: 977 | Kategoria: Road | Nazwa: 586617206.Highway corner 90deg.  B - 3 way_Data
ID: 978 | Kategoria: Water | Nazwa: 436628706.Alvars Watertower_Data
ID: 979 | Kategoria: Electricity | Nazwa: 529355904.Dream BioGas Plant 10x10_Data
ID: 980 | Kategoria: Education | Nazwa: 612991469.Community Highschool_Data
ID: 981 | Kategoria: PublicTransport | Nazwa: 618580477.City Station_Data
ID: 982 | Kategoria: Education | Nazwa: 578880823.Telescope Dish_Data
ID: 983 | Kategoria: Electricity | Nazwa: 429575781.Modular Solar Panel 4x4_Data
ID: 984 | Kategoria: PublicTransport | Nazwa: 455032211.Drosovilas 4 track train station_Data
ID: 985 | Kategoria: Road | Nazwa: 406269372.Timboh's Turbine Interchange_Data
ID: 986 | Kategoria: Road | Nazwa: 406646871.Timboh's Windmill Interchange_Data
ID: 987 | Kategoria: Road | Nazwa: 406647401.Timboh's Cloverstack Interchange_Data
ID: 988 | Kategoria: Road | Nazwa: 407932338.Timboh's Left Cloverstack Inter._Data
ID: 989 | Kategoria: Road | Nazwa: 408653760.Timboh's DCMI Interchange_Data
ID: 990 | Kategoria: Road | Nazwa: 408953343.Timboh's U-Pentagon Interchange_Data
ID: 991 | Kategoria: Road | Nazwa: 770131399.blackwiddow Spiral Highway Exit_Data
ID: 992 | Kategoria: Road | Nazwa: 770849513.blackwiddow Simple Highway Exit_Data
ID: 993 | Kategoria: Water | Nazwa: 1504254714.Clean Water Sewage Outlet_Data
ID: 994 | Kategoria: Beautification | Nazwa: 410150158.Sunken City Plaza_Data
ID: 995 | Kategoria: Beautification | Nazwa: 410475767.Suburban pool and picnic (4x4)_Data
ID: 996 | Kategoria: Beautification | Nazwa: 434623907.Ped Overpass, 4-6 Lanes Overhang_Data
ID: 997 | Kategoria: Beautification | Nazwa: 437913726.Kentucky Fried Chicken Ploppable_Data
ID: 998 | Kategoria: Beautification | Nazwa: 498075059.Mini Soccer Field_Data
ID: 999 | Kategoria: Beautification | Nazwa: 530187613.SHELL gas station ploppable_Data
ID: 1000 | Kategoria: Beautification | Nazwa: 547345271.Track and field_Data
ID: 1001 | Kategoria: Beautification | Nazwa: 1196418059.The Oasis Pool_Data
ID: 1002 | Kategoria: Beautification | Nazwa: 1750081619.Football club_Data
ID: 1003 | Kategoria: Beautification | Nazwa: 1805853225.Tennis Clubhouse_Data
ID: 1004 | Kategoria: Beautification | Nazwa: 1806104875.Air-Supported Sports Park 2 V_Data
ID: 1005 | Kategoria: Beautification | Nazwa: 1806104875.Air-Supported Sports Park 2_Data
ID: 1006 | Kategoria: Beautification | Nazwa: 1808343227.High School Soccer Field_Data
ID: 1007 | Kategoria: Beautification | Nazwa: 1953063594.Basketball Court #1_Data
ID: 1008 | Kategoria: Beautification | Nazwa: 1953063594.Basketball Court #2_Data
ID: 1009 | Kategoria: Beautification | Nazwa: 1953063594.Basketball Court #3_Data
ID: 1010 | Kategoria: Beautification | Nazwa: 1953063594.Basketball Court #4_Data
ID: 1011 | Kategoria: Beautification | Nazwa: 2772090755.6x6 Large Parking w/landscape_Data
ID: 1012 | Kategoria: Beautification | Nazwa: 2371610411.Smallest Parking Lot Extra_Data
ID: 1013 | Kategoria: Beautification | Nazwa: 2862139447.3x2 Park 2_Data
ID: 1014 | Kategoria: Beautification | Nazwa: 723621546.Football field_Data
ID: 1015 | Kategoria: Beautification | Nazwa: 957622771.1x4 Parking Lot_Data
ID: 1016 | Kategoria: Road | Nazwa: 1407177559.Avenue Interchange_Data
ID: 1017 | Kategoria: Beautification | Nazwa: 2949679321.Realistic Functioning Beach_Data
ID: 1018 | Kategoria: Road | Nazwa: 882464002.MangoCats Diverse Diamond Int._Data
